Cluster,difference
0,24.199998
0,64.199997
0,19.199999
0,52.599996999999995
0,85.0
0,65.599998
0,27.0
0,46.0
2,58.599999
0,43.399998
0,44.399997
0,68.599998
0,83.400001
0,66.999998
0,40.400003000000005
0,70.400002
0,56.399997
0,43.799999
0,66.600002
0,51.599998
0,54.799999
0,26.0
2,58.0
2,22.400001000000003
2,62.680001999999995
0,22.74
0,58.399998000000004
0,37.260000999999995
0,135.02
0,76.020001
0,76.460001
0,53.600002
0,89.620001
0,21.080002
0,64.639999
0,21.0
0,32.220001
0,63.239999999999995
0,110.22001200000001
0,43.219999
0,72.839999
0,69.28
0,42.179996
0,49.100004000000006
0,99.04000900000001
0,76.62
0,50.620001
0,125.579999
0,102.93999900000001
0,34.019998
0,47.32
0,31.959999000000003
0,57.979997999999995
0,76.72
0,53.199997
0,77.44
0,64.420002
0,67.960003
0,136.57999999999998
0,64.1
0,67.379999
0,40.460003
0,60.66
0,104.779999
0,33.659998
0,65.619998
0,47.81999900000001
0,112.04001099999999
0,124.04000200000002
0,32.89999999999999
0,75.180001
0,96.779999
0,57.44000200000001
0,136.860001
0,44.939998
0,66.62
0,56.87999700000001
0,42.600003
0,91.220001
0,93.880002
0,38.040001000000004
0,79.41999999999999
0,62.400001
0,90.9
2,66.98000200000001
0,16.32
0,82.6
0,27.18
2,56.579997999999996
0,90.2
0,71.26
2,76.200008
0,74.8
2,58.599999
2,66.199993
2,79.799992
2,74.800007
2,57.20000300000001
2,81.20000200000001
2,76.19999999999999
2,70.60000199999999
2,73.60001
2,68.200008
2,62.0
2,68.2
2,74.60000199999999
2,51.200001
2,63.400001
2,65.39999
2,75.19999999999999
2,71.799992
2,61.600003000000015
2,56.199997999999994
2,68.79999799999999
2,56.200002
2,63.200001
2,62.000001
2,70.000012
2,48.400002
2,78.00000299999999
2,70.2
2,69.199993
2,69.79999799999999
2,63.400000000000006
2,74.99999700000001
2,69.599998
2,75.99999700000001
2,77.0
2,76.60000199999999
2,56.200001
2,59.400002
2,54.999999
2,70.60001
2,74.599987
2,67.0
2,67.999988
2,61.000012
2,62.79999799999999
2,83.0
2,41.799998
2,69.000012
2,67.799998
2,77.199997
2,62.799992
2,70.60000300000002
2,82.00000299999999
2,61.99999700000001
2,68.599987
2,70.400013
2,73.599998
2,71.799999
2,67.799999
2,73.999988
2,70.400013
0,58.8
2,81.199993
2,80.000012
2,58.600002
2,69.799992
2,79.199997
2,75.400013
2,76.60001
2,82.000012
2,47.800003000000004
2,66.799992
2,75.80000000000001
0,50.199996999999996
0,66.200001
2,77.999988
2,56.799998
2,58.200001
2,80.799992
2,65.000002
2,49.399998999999994
2,78.60001
2,77.800007
2,71.199993
2,64.99999700000001
2,79.999988
2,68.200008
2,75.199997
2,59.199999000000005
2,68.60001
2,63.800002000000006
2,80.999988
2,59.399998999999994
2,64.8
2,59.199999000000005
2,66.0
2,63.800006999999994
2,48.400002
2,58.00000299999999
2,74.999988
2,63.439989999999995
2,64.12000100000002
2,67.619998
2,67.92000099999998
2,72.24000199999999
2,73.140001
2,74.43999199999999
2,74.16001500000002
2,61.82
2,69.539997
2,77.31999800000001
2,72.59999899999998
2,57.960002
2,70.38000100000001
2,57.69999899999999
2,73.039997
2,68.34000099999999
2,63.659998
2,66.13999499999998
2,72.119991
2,57.86
2,63.539997000000014
2,73.41999999999999
2,65.49999
2,71.05999
2,68.89998899999999
2,69.32000299999999
2,53.92000099999999
2,71.13999000000001
2,68.44000700000001
2,71.58001200000001
2,61.679990000000004
2,60.279999999999994
2,70.6
2,66.060001
2,58.88000099999999
2,67.939999
2,67.999996
2,80.319998
2,68.280008
2,45.959998
2,60.100002
2,56.460002999999986
2,51.94
2,74.21999
2,75.24000000000001
2,69.25999999999999
2,66.860001
2,58.75999799999998
2,70.780002
2,74.22
2,76.70000200000001
2,74.739991
2,60.53999900000001
2,61.38000099999999
2,71.21999
2,64.76000299999998
2,54.520001
2,67.18
2,55.94000100000001
2,82.39999800000001
2,65.44001200000001
2,76.80000199999999
2,69.70000200000001
2,61.32
2,74.020001
2,61.379998999999984
2,76.279999
2,71.299998
2,63.319998999999996
2,56.800000999999995
2,52.439998
2,79.18001000000001
2,67.140002
2,70.359996
2,66.05998600000001
2,78.35999999999999
2,71.82001100000001
2,66.46000199999999
2,59.739986
2,66.280003
2,67.72
2,54.520001
2,61.360011
2,66.379998
2,77.460008
