cornyield_smooth1960,cornyield_smooth2000,Cluster
21.379999,112.6,1
35.739998,129.62,1
36.739998,74.779999,1
33.18,112.6,1
32.860001,95.260002,1
20.84,,1
24.879999,,1
25.58,116.48,1
23.42,,1
45.720001,,0
23.700001,,1
33.419998,100.4,0
26.58,,1
38.540001,54.860001,1
23.299999,,1
26.5,109.1,1
39.32,66.5,1
23.960001,,1
24.459999,,1
37.48,94.059998,0
29.380001,,0
26.0,116.2,1
22.84,,1
18.76,,1
29.58,100.84,1
,154.10001,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,165.73999,0
,,0
,156.02,0
,,0
,,0
,,0
,149.78,0
,144.60001,0
,,0
,152.28,0
,149.02,0
,,0
,,0
,138.03999,0
,,0
,,0
,,0
,,0
,162.14,0
,,0
,,0
,,0
,,0
,151.98,0
,164.0,0
,,0
,,0
,,0
,144.95999,0
,,0
,,0
68.400002,144.60001,0
48.0,122.8,0
57.200001,115.8,0
79.199997,145.39999,0
61.599998,141.39999,0
81.800003,156.60001,0
66.199997,123.4,0
81.599998,162.8,0
78.0,154.2,0
78.599998,149.2,0
82.0,155.60001,0
66.400002,134.60001,0
49.0,111.0,0
55.0,123.2,0
75.599998,150.2,0
63.799999,115.0,0
59.799999,123.2,0
67.0,132.39999,0
79.0,154.2,0
81.599998,153.39999,0
80.199997,141.8,0
70.400002,126.6,0
75.400002,144.2,0
60.599998,116.8,0
57.799999,121.0,0
58.799999,120.8,0
72.599998,142.60001,0
47.599998,96.0,0
72.199997,150.2,0
55.0,125.2,0
69.199997,138.39999,0
71.400002,141.2,0
46.0,109.4,0
71.800003,146.8,0
42.400002,112.0,0
77.800003,153.8,0
77.0,154.0,0
74.599998,151.2,0
50.799999,107.0,0
61.599998,121.0,0
51.200001,106.2,0
68.0,138.60001,0
73.800003,148.39999,0
40.0,107.0,0
78.400002,146.39999,0
76.599998,137.60001,0
75.400002,138.2,0
76.0,159.0,0
63.400002,105.2,0
78.599998,147.60001,0
55.400002,123.2,0
81.800003,159.0,0
76.599998,139.39999,0
84.199997,154.8,0
78.199997,160.2,0
70.800003,132.8,0
84.800003,153.39999,0
88.199997,158.60001,0
71.400002,145.0,0
63.200001,135.0,0
50.200001,118.0,0
78.400002,152.39999,0
71.199997,141.60001,0
48.0,106.8,0
74.199997,155.39999,0
74.599998,154.60001,0
62.599998,121.2,0
71.599998,141.39999,0
76.800003,156.0,0
79.199997,154.60001,0
78.0,154.60001,0
74.599998,156.60001,0
44.0,91.800003,0
88.599998,155.39999,0
69.0,144.8,0
41.0,91.199997,0
49.799999,116.0,0
77.400002,155.39999,0
51.400002,108.2,0
52.799999,111.0,0
72.599998,153.39999,0
62.599998,127.6,0
53.200001,102.6,0
78.0,156.60001,0
68.800003,146.60001,0
70.199997,141.39999,0
71.800003,136.8,0
79.400002,159.39999,0
80.400002,148.60001,0
78.800003,154.0,0
55.200001,114.4,0
77.0,145.60001,0
61.599998,125.4,0
80.400002,161.39999,0
55.200001,114.6,0
48.0,112.8,0
60.200001,119.4,0
81.0,147.0,0
67.800003,131.60001,0
40.599998,89.0,0
77.199997,135.2,0
