cornyield_smooth1980,cornyield_smooth2000
97.599998,123.2
126.6,159
119.8,139.39999
118.4,154.8
124,160.2
118.8,132.8
124.2,153.39999
127.2,158.60001
117.4,145
105.6,135
90.400002,118
117.4,152.39999
105.6,141.60001
85,106.8
120.8,155.39999
124.2,154.60001
102,121.2
119.2,141.39999
131.60001,156
132,154.60001
124.4,154.60001
116.6,156.60001
78.800003,91.800003
127.4,155.39999
107.2,144.8
74.599998,91.199997
86.400002,116
118.2,155.39999
89.400002,108.2
95.599998,111
122.4,153.39999
103.6,127.6
81.599998,102.6
131,156.60001
109.6,146.60001
117.2,141.39999
120.4,136.8
126,159.39999
119.2,148.60001
119.6,154
86.800003,114.4
121.2,145.60001
100.6,125.4
130.39999,161.39999
89.400002,114.6
87.599998,112.8
87.599998,119.4
122.6,147
111.2,131.60001
77.400002,89
118.2,135.2
122.6,157.39999
109,128.25999
111.12,133.58
103.82,132.88
121.48,148.7
103.44,134.98
118.72,145.78
94.979996,
119.04,153.53999
115.2,148.46001
99.220001,120.8
106.98,141.34
120.52,157.08
88.660004,
112.2,144.14
96.760002,116.56
117.76,146.02
96.379997,126.24
114.3,144.34
105.66,131.98
101.3,130.56
114.46,135.75999
89.5,
115.06001,142.89999
104.04,126.04
97.020004,129.52
109.12,139.92
119.78,137.67999
105.24,131.53999
117.94,139.75999
114.88,138.2
99.360001,115.38
117.7,146.45999
113.5,141.74001
127.92,151.68001
112.4,128.17999
102.98,120.46
108.02,146.78
100.38,124.68
96.199997,120.82
98.379997,127.64
119.34,136.16
111.18,142.06
99.919998,136.54001
98.139999,111.4
110.34,133.66
106.56,131.48
97.779999,112.94
120.8,148.53999
113.42,139.22
94.340004,136.94
111.02,122.8
110.94,134.2
104.14,128.34
119.72,148.22
107.14,140.12
119.56001,153.51999
97.080002,127.26
90.439995,
104.06001,124.52
105.74,130.53999
108.78,136.14
97.139999,107.98
103.06,127.34
106.28,133.58
110.12,145.3
97.18,134.18001
109.5,147.22
111.04,134.3
102.28,124.5
118,144.48
99.099998,129.42
104.74,133.16
112.68,138.06
101.4,117.52
93.5,125.08
94.540001,117.52
111.48,140.68001
93.5,
118.26,146.06
122.96,153.38
117.58,145.39999
107.1,139.2
114.4,143.46001
103.26,131.38
106.06,131.39999
119.72,142.16
103.24,121.04
101.44,114.64
114.5,132.82001
111.4,134.28
116.74001,155.04001
98.279999,127.8
106.25999,139.08
101.04,131.68001
120,152.25999
97.220001,124.07999
109.2,137.10001
122.3,158.24001
126.94,156.5
126.4,156.34
127.1,163.38
130.5,157.96001
126.62,151.8
122.74,154.34
129.64,147.78
114.28,145.36
109.44,134.74001
135.52,166.7
128.58,151.03999
121.32,152.82001
120.32,151.94
94.619995,120.16
124.22,149.68001
121.9,156.03999
126.78,160.62
98.360001,145.2
120.12,147.89999
104.52,133.58
98.18,121.86
128.62,161.42
127.3,145.48
123.32,145.56
123.8,158.03999
132.17999,148.89999
125.46,158
124.68,155.98
129.17999,153.32001
104.14,129.38
127.48,149.03999
128.24001,153.28
111.94,137.7
131.3,160.74001
130.25999,152.17999
127.12,156.42
103.2,139.58
125.6,141.78
118.32,148.16
129.48,151.36
106.02,148.56
119.82,151.53999
116.92,149.39999
118,157.34
115.1,125.66
123.22,150.08
128.58,159.62
122.8,138.92
131.7,151.64
117.3,133.78
124.28,155.92
127.22,138.86
96.419998,124.06
108.74,154.64
107.54,141.58
115.74,146.39999
109.74,142.38
122.52,156.81999
109.68,125.98
119.34,157.39999
98.779999,132.64
96.900002,126.48
105.78,136.7
125.02,151.78
124.52,156.66
122,149.16
99,123.86
128.38,150.34
105.5,149.14
131.76001,150.5
119.7,158.56
114.44,139.28
118.1,153.86
92.339996,122.5
112.04,151.42
133.17999,171.06
111.16,139.04001
113.66,162.12
128.78,159.3
122.6,155.74001
