prec_smooth1980,tavg_smooth1980,dday31C_smooth1980,prec_smooth1990,tavg_smooth1990,dday31C_smooth1990,prec_smooth2000,tavg_smooth2000,dday31C_smooth2000,Cluster
71.493324,22.207092,30.382977,73.492935,21.881926,22.429047,67.207413,22.855433,34.864002,1
14.334345,17.375824,19.971663,17.005234,17.717693,16.050913,14.885714,18.427925,25.793493,0
14.88076,22.775438,107.95427,19.721197,22.721598,92.13076,18.67522,23.350405,110.63005,1
11.234054,18.936127,52.617229,10.963024,19.690008,62.06992,12.840991,19.715904,64.720367,0
11.996,24.854528,198.59836,17.698,24.829704,172.13274,9.7600002,25.558889,230.77815,1
12.203542,23.549162,141.05406,15.355486,23.489092,118.80615,13.588778,24.281546,158.96591,1
12.846045,21.918915,123.35714,17.067091,21.977564,101.45402,15.518833,23.000113,136.78619,1
4.9885674,28.92539,453.72675,5.2181306,29.126598,436.16281,4.6247249,29.510231,496.78107,1
6.1778941,27.9725,396.92175,9.1869297,28.275589,379.84061,7.814394,28.93519,458.80402,1
6.4229465,29.164886,477.45551,5.4693432,29.582249,487.74466,4.3337908,30.107046,558.30524,1
14.192296,18.41843,28.853708,20.097031,18.604965,23.189367,16.355095,19.29875,35.411636,0
14.589647,26.533527,286.62201,15.349142,26.403021,242.64882,15.755122,26.971064,289.50089,1
7.9490199,27.69038,384.33719,10.572827,27.849871,347.81155,9.0162544,28.521393,428.43372,1
21.530741,23.276463,146.27287,27.33889,22.754301,94.621887,23.852425,23.120481,105.82162,1
12.416896,20.868736,97.477959,16.953968,21.298639,90.266403,16.196066,21.782232,118.5388,1
3.5910711,28.291906,418.1904,4.3086452,28.480734,394.94965,3.477792,28.789505,447.67389,1
65.939301,23.888876,63.632473,64.163704,23.502798,41.72105,45.386471,24.621929,70.333466,1
65.073196,24.34026,70.551453,68.793953,23.875498,51.60461,54.113613,24.800497,80.702171,1
55.998405,21.763309,50.564018,60.292679,21.147078,30.625788,50.648376,22.104809,47.605904,1
59.629601,21.621546,40.983288,63.106812,21.110773,28.527678,62.180782,22.075109,44.417557,1
59.816017,21.564735,36.989887,65.187317,21.06506,22.083797,53.762051,21.867231,35.785423,1
62.60091,23.517866,65.999046,71.614067,23.189163,44.868587,53.965775,24.154873,71.612122,1
63.160271,23.622477,69.95636,66.845192,23.208376,44.015686,51.28347,24.16853,77.213676,1
60.807919,21.3512,34.541367,65.136421,20.836193,22.326328,57.510544,21.713608,32.549919,0
66.048912,24.356607,70.149864,66.545929,23.910975,49.706558,53.154732,24.972925,83.450966,1
68.228317,23.622526,76.194214,65.960327,23.130241,42.067162,55.145321,24.00292,81.534348,1
53.658802,22.593012,56.619823,54.243141,22.289345,38.591316,55.366508,23.080242,46.079391,1
66.805023,22.383183,55.329887,65.220963,22.062725,35.44936,51.824207,23.077761,62.165966,1
64.345955,23.585369,65.710594,66.320518,23.247238,42.729481,49.728027,24.211569,69.976761,1
62.248379,24.049129,80.016205,69.238899,23.494905,44.999439,50.06955,24.339558,82.795502,1
58.390503,23.095581,76.339661,63.176785,22.587732,48.416481,50.243824,23.452826,76.793121,1
59.319435,23.163055,61.915962,58.590679,22.900084,41.697483,53.511963,23.669849,53.20937,1
57.844154,22.862246,69.806808,67.396027,22.642105,57.469826,57.082405,23.580893,85.624695,1
70.666336,23.470642,52.900696,60.875122,23.155737,37.357777,55.397243,24.00552,49.398521,1
71.029762,23.347954,58.149216,59.990364,23.09164,39.886227,51.075966,23.805449,51.644562,1
68.528687,23.534138,72.471153,63.819855,23.114441,41.43008,51.590103,24.094427,78.023125,1
63.91494,24.068808,68.637054,64.848701,23.682678,45.958458,48.382404,24.867065,80.209023,1
63.608387,23.979248,69.082047,67.170822,23.597267,47.514957,50.779305,24.741884,81.616112,1
65.892006,23.047665,67.419395,62.552349,22.659145,42.63205,49.115181,23.556797,69.28981,1
59.399647,22.872368,71.186424,64.772659,22.438166,48.440014,54.517471,23.353664,74.762672,1
54.353432,21.319908,42.462959,57.538342,20.939238,27.219105,49.585224,21.848623,42.947315,1
69.338203,23.090788,73.422272,72.474152,22.710413,51.849617,53.514359,23.649324,89.600433,1
72.638519,23.502975,72.944595,62.546337,23.200447,45.35957,46.530247,24.0107,69.819862,1
55.491989,22.916592,59.219055,56.316982,22.60463,38.450871,55.058552,23.316513,46.846973,1
63.334679,23.800976,81.34436,69.028458,23.11487,39.876015,55.60318,24.10121,85.026154,1
70.298157,23.381151,74.753021,69.251236,23.046415,48.428707,53.950268,23.981226,83.164665,1
66.022888,23.634712,79.899635,71.038094,23.003698,41.672295,55.95126,23.993195,89.121902,1
59.779522,22.916,64.663155,60.776993,22.636496,42.053772,49.906429,23.476032,61.921631,1
54.095123,21.843575,52.003319,61.709091,21.45752,33.964973,50.247021,22.41806,55.439297,1
63.440437,23.25098,65.650909,59.092651,22.999153,42.497807,49.878963,23.749378,58.89463,1
