Cluster,difference
1,24.199998
1,64.199997
1,19.199999
1,52.599996999999995
1,85.0
1,65.599998
1,27.0
1,46.0
3,58.599999
1,43.399998
1,44.399997
1,68.599998
1,83.400001
1,66.999998
1,40.400003000000005
1,70.400002
1,56.399997
1,43.799999
1,66.600002
1,51.599998
1,54.799999
1,26.0
3,58.0
3,22.400001000000003
3,62.680001999999995
1,22.74
1,58.399998000000004
1,37.260000999999995
1,135.02
1,76.020001
1,76.460001
1,53.600002
1,89.620001
1,21.080002
1,64.639999
1,21.0
1,32.220001
1,63.239999999999995
1,110.22001200000001
3,43.219999
1,72.839999
1,69.28
1,42.179996
1,49.100004000000006
1,99.04000900000001
1,76.62
1,50.620001
1,125.579999
1,102.93999900000001
1,34.019998
1,47.32
1,31.959999000000003
1,57.979997999999995
1,76.72
1,53.199997
1,77.44
1,64.420002
1,67.960003
1,136.57999999999998
1,64.1
1,67.379999
1,40.460003
1,60.66
1,104.779999
1,33.659998
1,65.619998
1,47.81999900000001
1,112.04001099999999
1,124.04000200000002
1,32.89999999999999
1,75.180001
1,96.779999
1,57.44000200000001
1,136.860001
1,44.939998
1,66.62
1,56.87999700000001
1,42.600003
1,91.220001
1,93.880002
1,38.040001000000004
1,79.41999999999999
1,62.400001
1,90.9
3,66.98000200000001
1,16.32
1,82.6
1,27.18
3,56.579997999999996
1,90.2
1,71.26
3,76.200008
1,74.8
3,58.599999
3,66.199993
3,79.799992
3,74.800007
3,57.20000300000001
3,81.20000200000001
3,76.19999999999999
3,70.60000199999999
3,73.60001
3,68.200008
3,62.0
3,68.2
3,74.60000199999999
3,51.200001
3,63.400001
3,65.39999
3,75.19999999999999
3,71.799992
3,61.600003000000015
3,56.199997999999994
3,68.79999799999999
3,56.200002
3,63.200001
3,62.000001
3,70.000012
3,48.400002
3,78.00000299999999
3,70.2
3,69.199993
3,69.79999799999999
3,63.400000000000006
3,74.99999700000001
3,69.599998
3,75.99999700000001
3,77.0
3,76.60000199999999
3,56.200001
3,59.400002
3,54.999999
3,70.60001
3,74.599987
3,67.0
3,67.999988
3,61.000012
3,62.79999799999999
3,83.0
3,41.799998
3,69.000012
3,67.799998
3,77.199997
3,62.799992
3,70.60000300000002
3,82.00000299999999
3,61.99999700000001
3,68.599987
3,70.400013
3,73.599998
3,71.799999
3,67.799999
3,73.999988
3,70.400013
3,58.8
3,81.199993
3,80.000012
3,58.600002
3,69.799992
3,79.199997
3,75.400013
3,76.60001
3,82.000012
3,47.800003000000004
3,66.799992
3,75.80000000000001
3,50.199996999999996
3,66.200001
3,77.999988
3,56.799998
3,58.200001
3,80.799992
3,65.000002
3,49.399998999999994
3,78.60001
3,77.800007
3,71.199993
3,64.99999700000001
3,79.999988
3,68.200008
3,75.199997
3,59.199999000000005
3,68.60001
3,63.800002000000006
3,80.999988
3,59.399998999999994
3,64.8
3,59.199999000000005
3,66.0
3,63.800006999999994
3,48.400002
3,58.00000299999999
3,74.999988
3,63.439989999999995
3,64.12000100000002
3,67.619998
3,67.92000099999998
3,72.24000199999999
3,73.140001
3,74.43999199999999
3,74.16001500000002
3,61.82
3,69.539997
3,77.31999800000001
3,72.59999899999998
3,57.960002
3,70.38000100000001
3,57.69999899999999
3,73.039997
3,68.34000099999999
3,63.659998
3,66.13999499999998
3,72.119991
3,57.86
3,63.539997000000014
3,73.41999999999999
3,65.49999
3,71.05999
3,68.89998899999999
3,69.32000299999999
3,53.92000099999999
3,71.13999000000001
3,68.44000700000001
3,71.58001200000001
3,61.679990000000004
3,60.279999999999994
3,70.6
3,66.060001
3,58.88000099999999
3,67.939999
3,67.999996
3,80.319998
3,68.280008
3,45.959998
3,60.100002
3,56.460002999999986
3,51.94
3,74.21999
3,75.24000000000001
3,69.25999999999999
3,66.860001
3,58.75999799999998
3,70.780002
3,74.22
3,76.70000200000001
3,74.739991
3,60.53999900000001
3,61.38000099999999
3,71.21999
3,64.76000299999998
3,54.520001
3,67.18
3,55.94000100000001
3,82.39999800000001
3,65.44001200000001
3,76.80000199999999
3,69.70000200000001
3,61.32
3,74.020001
3,61.379998999999984
3,76.279999
3,71.299998
3,63.319998999999996
3,56.800000999999995
3,52.439998
3,79.18001000000001
3,67.140002
3,70.359996
3,66.05998600000001
3,78.35999999999999
3,71.82001100000001
3,66.46000199999999
3,59.739986
3,66.280003
3,67.72
3,54.520001
3,61.360011
3,66.379998
3,77.460008
3,63.679997
3,72.41999600000001
3,67.88001100000001
3,83.45998699999998
3,66.89999
3,64.60001
3,78.42001000000002
3,81.340004
3,81.78000200000001
3,93.69999999999999
3,89.58001300000001
3,78.359998
3,86.500004
3,73.820001
3,69.95999800000001
3,64.76001400000001
3,86.15999899999998
3,82.959988
3,81.940013
3,89.32000099999999
3,65.18
3,84.02000600000001
3,90.87998599999999
3,81.56000200000001
3,74.00000299999999
3,75.599987
3,77.67999800000001
3,73.03999999999999
3,91.75999599999999
3,66.56000199999998
3,88.920001
3,85.479992
3,83.979992
3,93.5
3,85.74000199999999
3,78.960009
3,63.820002
3,75.11999199999998
3,72.299997
3,69.68000299999999
3,85.320012
3,86.559987
3,79.51999799999999
3,71.48000200000001
3,72.260003
3,94.259998
3,77.49999900000002
3,74.460002
3,79.05999399999999
3,76.419987
3,84.600002
3,64.459999
3,78.71999900000002
3,82.62
3,71.18000199999999
3,82.580002
3,68.239999
3,84.839998
3,68.84000300000001
3,69.780001
0,97.76000299999998
3,72.160002
3,76.699993
3,76.759997
3,78.619993
3,59.78000300000001
3,90.179989
3,68.71999799999999
3,74.180001
3,70.10000199999999
3,80.159997
3,88.100002
0,87.5
3,60.240001
3,86.5
3,88.61999999999998
3,80.239998
3,86.819995
3,70.19999800000001
3,80.48000300000001
3,69.94000199999999
3,76.28000099999998
3,92.360003
3,62.320009
3,97.62
3,83.53999800000001
3,77.24001000000001
3,67.51999900000001
3,76.240002
3,57.860001
3,70.28
3,78.999999
3,77.140011
3,66.379999
3,83.98000200000001
3,81.199997
3,89.54000099999999
3,74.51999199999999
3,86.02000100000001
3,79.80000600000001
1,47.799999
1,36.400002
3,53.600003
2,85.599999
2,106.4
1,41.0
3,54.799998
1,49.0
1,35.799994999999996
1,42.599999
1,63.199999000000005
0,95.400009
2,116.799999
1,80.2
1,75.799998
1,39.200001
1,33.399997
1,54.0
0,55.000002
1,68.600002
3,71.799992
3,48.2
2,126.799999
1,57.800002000000006
2,49.6
1,44.200001
2,102.39999
2,126.99999899999999
1,39.0
1,65.199998
0,59.0
0,64.400001
2,84.199993
2,123.39999
0,31.0
1,54.599998
2,70.200002
1,101.799992
2,116.199997
2,89.599998
3,52.599998
3,57.000001999999995
3,67.200001
3,38.400002
2,95.59999900000001
2,106.6
2,114.39999
1,54.800004
2,52.400002
3,38.199996999999996
1,36.199996999999996
1,39.0
0,41.0
3,36.0
1,93.400002
1,44.799994999999996
3,53.000004000000004
2,122.199993
3,39.599998
1,56.600003
1,45.0
1,36.799994999999996
2,93.19999999999999
3,51.199996999999996
1,55.999995999999996
2,52.600002
0,64.799999
3,38.600003
1,65.0
1,60.200001
2,101.0
3,40.0
3,65.999999
2,122.0
0,57.400002
1,102.400002
3,69.799998
1,87.4
1,54.0
3,42.400001
2,55.800002000000006
1,23.599998
1,53.399997
0,54.79999799999999
1,95.999988
2,99.20000200000001
3,65.199999
0,101.60001
0,92.000012
3,56.000004000000004
2,105.4
2,96.599987
2,110.800011
1,42.400001
0,104.00000100000001
3,66.199997
3,41.200001
0,86.200001
3,45.599998
0,68.99999700000001
1,53.200001
1,49.799994999999996
3,35.799999
3,45.400001
3,52.300003000000004
1,73.000001
3,63.799998
3,61.600001000000006
3,63.179999
3,23.200005000000004
3,24.440002
3,49.200001
3,47.280001000000006
3,79.000002
3,66.0
1,67.4
1,77.199998
3,53.219998999999994
3,57.100002
3,67.400002
3,39.099999
3,61.34
3,71.700001
3,59.800002000000006
3,68.6
3,50.700001
3,38.76000200000001
3,32.760003
3,34.899997
3,31.439998000000003
1,76.5
3,36.580002
1,76.0
3,45.900001
3,54.900002
3,40.67999699999999
3,75.72
3,54.200001
3,47.900001
3,44.299999
3,69.200002
3,39.999995999999996
1,68.2
3,63.0
3,50.280001000000006
3,35.899997
3,62.42000000000001
3,62.399998999999994
3,59.3
3,45.260002
3,55.7
3,67.399999
3,76.1
3,69.700002
1,65.399999
3,74.4
3,54.099999
3,71.99999899999999
1,67.200001
3,28.980003999999994
3,56.399998
3,39.600003
3,56.0
3,54.500004000000004
3,34.360004
3,60.400002
3,61.699999000000005
3,85.699989
3,63.92000000000001
3,53.779999999999994
3,66.799999
3,56.719998
3,69.72
3,39.200005000000004
3,53.3
3,65.899998
3,44.580002
3,59.299999
3,70.100001
3,75.100002
3,69.000012
3,75.699998
3,52.299998
3,79.30000000000001
3,64.700001
3,69.239998
3,52.279999999999994
3,54.580001
3,56.739999999999995
3,54.019997000000004
3,73.17999900000001
3,46.079998999999994
3,47.720004
3,46.34
3,62.739999
3,35.23999800000001
3,42.780001999999996
3,33.500001
3,49.38000099999999
3,42.220001
3,47.86000099999999
3,67.57999899999999
3,47.119999
3,75.82000199999999
3,46.76000100000001
3,35.47999599999999
3,58.140001
3,63.219998999999994
3,67.62
0,64.66
3,69.04000099999999
0,61.939999
3,56.49999699999999
3,58.29999699999999
3,50.199999000000005
3,46.400002
0,60.219998999999994
0,67.28
0,46.540005
0,38.360001000000004
0,53.97999900000001
3,49.819999
0,68.499988
0,56.339999000000006
0,74.06000099999999
0,57.540000000000006
3,48.319998000000005
3,58.32
0,68.220001
0,60.620002
3,49.620001
0,53.840002000000005
0,63.839999000000006
0,62.300002000000006
0,70.12
0,69.219999
3,58.060000999999986
0,49.580001
0,47.82
0,57.160000999999994
0,68.94
0,63.600002
0,60.68
0,61.739999
3,59.859998
0,74.200002
0,43.640002
0,59.139999
3,60.98
0,49.580001
3,59.000001999999995
0,100.99999899999999
3,87.60000300000002
3,88.000012
3,88.60000199999999
0,106.60001
3,62.799999
0,78.599998
3,92.200008
3,88.20000200000001
3,95.599991
0,86.60000199999999
3,81.599987
3,86.199997
3,84.39999800000001
3,89.60001
0,104.999988
3,76.799992
3,77.400002
3,66.6
3,83.000012
3,100.60000199999999
0,95.39999800000001
3,84.39999800000001
0,93.599991
0,94.400002
3,89.200008
3,87.799992
3,84.400002
3,92.799992
0,89.799992
3,92.400002
0,82.400009
3,91.599998
0,92.200001
0,95.79999799999999
0,109.60000199999999
0,95.39999
0,102.0
3,82.999988
0,97.19999999999999
3,83.60001
3,79.000002
3,94.800003
0,90.00000100000001
3,88.00000299999999
0,110.599991
0,108.000012
0,112.60000199999999
3,91.60000199999999
0,76.800001
3,85.0
3,82.39999
3,92.000012
0,88.199999
3,87.599987
3,77.80000000000001
0,92.39999
1,66.16
1,59.180004
1,106.82
1,60.41999800000001
1,70.019997
1,57.73999900000001
1,76.88
1,66.02000000000001
1,85.20000100000001
1,74.22
1,65.98000400000001
1,75.1
1,82.39999999999999
1,94.0
1,81.58000100000001
1,43.139998999999996
1,63.099998
1,47.059996999999996
1,94.9
1,73.33999800000001
1,81.500001
1,56.63999999999999
1,59.580004
1,65.040001
1,86.42
1,64.35999799999999
1,81.13999999999999
