cornyield_smooth1960,cornyield_smooth2000,Cluster
28.4,52.599998,2
40.400002,,2
27.0,,2
29.6,,2
31.0,95.199997,2
24.4,,2
28.6,47.799999,2
29.799999,,2
22.799999,,2
30.6,83.199997,2
29.0,,2
27.0,,2
27.4,,2
23.799999,,2
25.6,,2
26.6,,2
28.4,113.4,2
28.200001,,2
25.4,,2
27.200001,,2
27.200001,,2
32.0,97.599998,2
27.799999,54.799999,2
27.0,73.0,2
32.599998,91.199997,2
27.799999,71.199997,2
32.200001,,2
31.0,,2
28.200001,72.599998,2
27.200001,,2
29.200001,,2
23.799999,,2
24.200001,,2
29.0,,2
29.4,,2
33.200001,,2
31.0,,2
25.4,,2
28.0,96.599998,2
27.799999,111.2,2
23.6,,2
37.400002,104.4,2
24.4,64.800003,2
22.6,,2
29.0,99.400002,2
23.799999,,2
26.799999,,2
32.200001,88.599998,2
34.799999,78.599998,2
30.0,,2
25.200001,,2
28.200001,94.800003,2
27.0,,2
24.200001,,2
26.0,77.599998,2
24.4,,2
22.799999,,2
26.0,,2
26.799999,,2
22.799999,,2
24.4,,2
23.4,,2
26.200001,81.0,2
28.799999,,2
30.0,56.0,2
26.0,,2
28.6,,2
,,3
,198.2,1
,,3
,,1
,186.42,1
,,1
,,1
,172.94,1
,,1
,,3
,,1
,177.2,1
,,1
,,1
,190.95999,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,132.88,2
,,2
,,2
,,2
,,2
,114.2,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,124.88,2
,,2
,,2
,,2
,123.8,2
,,2
,142.48,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,90.019997,2
,136.88,2
,144.60001,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,136.25999,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,130.06,2
,,2
,,3
,,3
,,3
,,1
,,1
,147.89999,1
,134.8,3
,,3
,,3
,162.66,1
,196.25999,1
,,3
,179.53999,1
,,3
,163.94,1
,174.84,1
,,3
,,3
,,1
,172.16,1
,,3
,,1
,,3
,172.36,1
,,3
,,3
,,3
,,3
,,3
,,3
,,1
,,3
,146.62,1
,156.86,3
,,3
,0.0,1
,,3
,163.45999,3
,,3
,,3
,0.0,3
,,3
,,3
,,3
,,3
,,3
,169.82001,3
,,3
,138.8,1
,174.32001,1
,175.42,1
,180.82001,1
,,1
,,3
,178.48,1
,,1
,104.4,3
,,3
,76.5,3
,,3
,163.3,3
,142.89999,3
,131.39999,3
,,3
,108.2,3
,,3
,,3
,115.7,3
,,3
,168.7,3
,,3
,,3
,,3
,,3
,48.0,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,,3
,61.400002,3
,121.2,3
,,3
,,3
,135.8,3
,,3
,80.699997,3
,122.4,3
,145.3,3
,,3
,,3
,161.5,3
,160.0,3
,155.60001,3
,,3
,,3
,127.4,3
,,3
,150.39999,3
,176.0,3
,,3
,,3
,,3
,,3
,,3
,124.0,3
,,3
,103.9,3
,156.8,3
,173.0,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
59.5,117.5,0
64.580002,86.980003,0
58.759998,121.44,0
,72.260002,2
,,2
,,2
,,2
,,2
,,2
,84.339996,2
,,2
,,2
,,2
,,2
,70.279999,2
,,2
,,2
,,2
,83.479996,2
,,2
,81.199997,2
,69.400002,2
,,2
,,2
,90.519997,2
,,2
,,2
,,2
,,2
,,2
,86.559998,2
,,2
,98.919998,2
,73.82,2
,80.959999,2
,,2
,,2
,,2
,68.5,2
,,2
,73.720001,2
,,2
,,2
,,2
,,2
,,2
,78.800003,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,73.519997,2
,,2
,,2
,,2
,84.379997,2
,,2
,,2
,,2
,,2
,82.260002,2
,85.260002,2
29.76,52.5,2
34.119999,92.519997,2
31.6,68.860001,2
28.1,163.12,2
24.58,,2
23.559999,,2
22.48,,2
29.559999,105.58,2
30.799999,107.26,2
34.200001,87.800003,2
32.580002,,2
27.559999,117.18,2
35.119999,56.200001,2
32.0,96.639999,2
36.200001,57.200001,2
34.540001,66.760002,2
26.120001,89.360001,2
26.139999,,2
35.239998,145.46001,2
31.459999,,2
26.719999,,2
27.42,,2
40.720001,,2
27.799999,,2
28.699999,,2
17.440001,,2
28.92,72.139999,2
32.82,,2
28.6,,2
32.82,,2
22.24,,2
31.440001,,2
25.379999,,2
33.560001,106.4,2
35.82,105.1,2
19.76,,2
33.16,75.339996,2
28.879999,,2
24.68,,2
29.699999,78.800003,2
33.48,,2
33.380001,,2
32.200001,131.24001,2
27.040001,,2
23.92,100.54,2
27.780001,78.400002,2
29.860001,155.44,2
24.66,,2
35.860001,138.8,2
29.58,,2
28.280001,62.299999,2
23.219999,,2
25.68,73.0,2
37.040001,69.0,2
41.599998,,0
26.779999,,2
31.719999,89.699997,2
28.540001,,2
25.92,,2
28.68,,2
40.16,,2
20.780001,,2
22.84,,2
29.74,106.46,2
36.18,89.379997,2
18.960001,,2
25.299999,,2
34.84,,2
27.5,,2
19.280001,,2
22.9,,2
21.040001,,2
25.940001,,2
25.360001,,2
27.68,,2
37.34,114.78,2
34.200001,98.620003,2
24.360001,,2
27.059999,,2
29.84,97.800003,2
27.08,163.66,2
26.9,91.0,2
21.620001,89.0,2
23.059999,,2
29.32,,2
31.799999,72.260002,2
27.299999,87.959999,2
33.720001,138.5,2
25.92,,2
20.68,,2
31.300001,,2
29.640001,63.299999,2
39.959999,,2
20.459999,,2
27.0,,2
31.98,97.599998,2
24.719999,,2
22.860001,70.68,2
28.440001,,2
28.559999,140.60001,2
32.759998,156.8,2
25.08,,2
24.76,57.66,2
24.280001,,2
