cornyield_smooth1980,cornyield_smooth2000,Cluster
44.32,70.68,1
40.32,,1
81.120003,140.60001,1
81.839996,156.8,1
,,1
39.259998,57.66,1
34.579998,,1
65.639999,,1
,,1
32.82,,1
40.200001,,1
33.880001,,1
,,1
38.059998,,1
54.419998,,1
55.0,109.48,1
32.279999,,1
44.0,,1
54.98,,1
43.459999,,1
53.68,,1
67.099998,127.22,1
46.580002,,1
33.32,,1
44.579998,,1
59.18,89.440002,1
92.5,168.0,1
38.700001,,1
49.459999,,1
55.98,71.599998,1
77.139999,102.12,1
34.48,,1
41.5,,1
45.419998,91.419998,1
39.48,72.400002,1
50.68,112.6,1
60.119999,129.62,1
67.400002,74.779999,1
59.959999,112.6,1
46.720001,95.260002,1
32.220001,,1
34.66,,1
59.639999,116.48,1
49.119999,,1
71.839996,,2
55.02,,1
56.18,100.4,1
30.620001,,1
55.16,54.860001,1
36.040001,,1
40.760002,109.1,1
58.260002,66.5,1
50.139999,,1
49.200001,,1
67.339996,94.059998,1
59.639999,,1
57.5,116.2,1
42.279999,,1
37.900002,,1
56.84,100.84,1
106.96,154.10001,0
,,0
,,0
,,0
,,0
82.400002,,0
,,0
,,0
,,0
81.599998,,0
,,0
,,0
,,0
104.76,165.73999,0
,,0
95.459999,156.02,0
,,0
,,0
,,0
105.96,149.78,0
84.0,144.60001,0
,,0
101.96,152.28,0
98.919998,149.02,0
,,0
,,0
101.36,138.03999,0
,,0
,,0
,,0
,,0
92.879997,162.14,0
,,0
93.459999,,0
,,0
,,0
104.4,151.98,0
105.34,164.0,0
,,0
,,0
,,0
102.36,144.95999,0
,,0
103.94,,0
108.8,144.60001,2
90.400002,122.8,1
95.0,115.8,2
122.4,145.39999,2
113.6,141.39999,2
125.2,156.60001,2
103.6,123.4,2
122.2,162.8,2
123.2,154.2,2
126.8,149.2,2
129.0,155.60001,2
113.2,134.60001,2
90.0,111.0,2
92.599998,123.2,2
123.8,150.2,2
106.6,115.0,2
107.4,123.2,2
112.0,132.39999,2
133.60001,154.2,2
120.8,153.39999,2
121.0,141.8,2
117.8,126.6,2
121.0,144.2,2
94.400002,116.8,2
108.0,121.0,2
97.599998,120.8,2
114.4,142.60001,2
76.800003,96.0,2
111.0,150.2,2
97.0,125.2,2
108.8,138.39999,2
119.6,141.2,2
81.800003,109.4,2
119.0,146.8,2
73.599998,112.0,1
125.2,153.8,2
124.8,154.0,2
114.6,151.2,2
84.0,107.0,2
108.4,121.0,2
82.199997,106.2,2
111.8,138.60001,2
116.6,148.39999,2
79.199997,107.0,1
130.0,146.39999,2
116.6,137.60001,2
122.8,138.2,2
122.6,159.0,2
101.6,105.2,2
124.2,147.60001,2
97.599998,123.2,2
126.6,159.0,2
119.8,139.39999,2
118.4,154.8,2
124.0,160.2,2
118.8,132.8,2
124.2,153.39999,2
127.2,158.60001,2
117.4,145.0,2
105.6,135.0,2
90.400002,118.0,2
117.4,152.39999,2
105.6,141.60001,2
85.0,106.8,1
120.8,155.39999,2
124.2,154.60001,2
102.0,121.2,2
119.2,141.39999,2
131.60001,156.0,2
132.0,154.60001,2
124.4,154.60001,2
116.6,156.60001,2
78.800003,91.800003,2
127.4,155.39999,2
107.2,144.8,2
74.599998,91.199997,1
86.400002,116.0,1
118.2,155.39999,2
89.400002,108.2,1
95.599998,111.0,2
122.4,153.39999,2
103.6,127.6,2
81.599998,102.6,2
131.0,156.60001,2
109.6,146.60001,2
117.2,141.39999,2
120.4,136.8,2
126.0,159.39999,2
119.2,148.60001,2
119.6,154.0,2
86.800003,114.4,1
121.2,145.60001,2
100.6,125.4,2
