Cluster,difference
0,0.47256429248140264
0,0.9808571581178285
0,0.10189022356177446
0,0.6593537825958071
0,1.3664439746893167
0,1.3851418076804403
0,0.208645765328628
0,0.8804739824832561
1,0.8796372011541631
0,1.1355727954409116
0,0.9868636018920744
0,0.5362594857465095
0,1.394487562327467
0,0.5619390521806735
0,0.5797172842515845
0,0.5888746868786017
0,0.7586343041160322
0,0.006144329001113835
0,1.2832370664739883
0,0.5702145111377788
0,1.354651025892382
0,0.07156520966072666
0,0.757672004171217
0,0.784375
0,0.9451714304597243
0,1.076967990582157
0,1.0802430662503157
0,0.1165633310762999
1,0.20637193484875627
0,0.7190868193060616
0,0.6657612459684263
0,0.7392318748306412
0,0.638920134983127
0,0.7354839234521349
0,0.5003481894150419
1,0.1309300648882481
1,0.1751256523993061
1,0.30290018413380393
0,0.17567338641368813
0,0.44711945874149106
0,0.604059985369422
0,0.6234513377626145
0,0.3822800495662948
1,-0.09138381201044388
1,0.553758325404377
1,0.5299784468955364
1,0.14659677137870863
1,-0.006427915518824601
1,0.48523744582188844
1,0.46060606060606046
1,0.011686143572620988
1,0.19018404907975484
1,0.041702127659574595
1,0.2612847222222223
1,0.4241622574955908
1,0.25984251968503935
1,0.41454554545454547
1,-0.0015673981191222097
1,0.3321522586359609
1,0.4715719063545152
1,-0.0016103059581320522
1,-0.17995264404104183
1,0.27687296416938123
1,0.3155893536121672
1,0.22651353152880382
1,-0.11172380742899946
1,0.44056934375198065
0,0.2501730666119908
0,0.756999975
0,-0.10236563440860214
0,-0.002457063821693861
0,0.6926829756097561
0,1.0205356924226718
0,0.8417020851063828
0,0.42947980185606105
0,0.17547772572416753
0,0.6522448775510203
0,0.1975524266162163
0,0.616666759502928
0,0.23899379682370436
0,0.14517134634757078
0,1.0681372320621874
0,0.3310680150658254
0,0.37073955995595553
0,0.02219624177966817
0,0.6688311448201867
0,0.5453322282465092
0,0.994619735810953
0,1.0956728444685817
0,0.9201575023244273
0,0.6736562080376707
0,1.2949470760879933
0,0.14975449775461347
0,0.468692926959289
0,0.06597094670145376
0,0.2067968546637744
0,0.4814323773209548
0,1.0750358651936054
0,0.309255927740687
0,1.0580270394965758
0,0.843859649122807
0,0.2958375867877121
0,0.36143748511683693
0,0.6903659414009009
0,1.2522401938225851
0,0.40653040568820975
0,1.3124069873191462
0,0.8920392326603159
0,0.1871188833841464
0,0.4547628537265842
0,0.46933563605910633
0,0.4514562856222699
0,0.5331220756589261
0,0.3300595385443248
0,1.133457288725972
0,0.8468166047496857
0,0.7514327184813754
0,1.8492338840796
0,0.7885219774268479
0,1.5042205260489445
0,0.38111624617737005
0,0.9607667641380571
0,1.0864719231608282
0,0.28920573479453093
0,0.6621252782335612
0,0.594765342960289
0,0.7332347731791875
0,0.9159336224796493
0,0.46867047726288713
0,0.9905454545454546
0,0.8959762115045071
0,0.5113214261574857
0,0.8162162162162163
0,0.2790281886387995
0,0.32382682556166476
0,1.0127697495715435
0,0.8338399696048633
0,1.2217837411207575
0,1.1560213266137946
0,0.10949550120191387
0,0.8779186437277957
0,1.0389554786182473
0,0.9530516759398335
1,0.7871128515485939
0,-0.005438705583756365
0,1.6766436370636093
0,0.14143490760607946
1,0.39679245006192154
0,1.0208695652173914
0,0.7741027445460942
1,0.44072559835452507
1,0.5820923062237495
1,0.6344018608254962
1,0.41355228388070975
1,0.7214286904761904
1,0.49352687328364064
1,0.5064699051045269
1,0.36187835438042604
1,0.7456934241718374
1,0.4557471264367814
