cornyield_smooth1960,cornyield_smooth2000,Cluster
28.4,52.599998,0
40.400002,,0
27.0,,0
29.6,,0
31.0,95.199997,0
24.4,,0
28.6,47.799999,0
29.799999,,0
22.799999,,0
30.6,83.199997,0
29.0,,0
27.0,,0
27.4,,0
23.799999,,1
25.6,,1
26.6,,0
28.4,113.4,0
28.200001,,0
25.4,,0
27.200001,,0
27.200001,,0
32.0,97.599998,0
27.799999,54.799999,0
27.0,73.0,0
32.599998,91.199997,1
27.799999,71.199997,0
32.200001,,0
31.0,,0
28.200001,72.599998,0
27.200001,,0
29.200001,,0
23.799999,,0
24.200001,,0
29.0,,0
29.4,,0
33.200001,,1
31.0,,0
25.4,,0
28.0,96.599998,0
27.799999,111.2,0
23.6,,0
37.400002,104.4,0
24.4,64.800003,0
22.6,,0
29.0,99.400002,1
23.799999,,0
26.799999,,0
32.200001,88.599998,1
34.799999,78.599998,0
30.0,,0
25.200001,,0
28.200001,94.800003,0
27.0,,0
24.200001,,0
26.0,77.599998,0
24.4,,0
22.799999,,0
26.0,,0
26.799999,,0
22.799999,,0
24.4,,0
23.4,,0
26.200001,81.0,0
28.799999,,0
30.0,56.0,0
26.0,,0
28.6,,0
,,1
,198.2,0
,,1
,,0
,186.42,0
,,0
,,0
,172.94,0
,,0
,,1
,,0
,177.2,0
,,0
,,0
,190.95999,0
,,0
,,0
,,0
,,1
,,1
,,0
,,0
,,1
,,0
,,0
,132.88,0
,,0
,,0
,,0
,,0
,114.2,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,124.88,0
,,0
,,0
,,0
,123.8,0
,,0
,142.48,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,90.019997,0
,136.88,0
,144.60001,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,136.25999,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,130.06,0
,,0
,,1
,,1
,,0
,,0
,,0
,147.89999,0
,134.8,1
,,1
,,1
,162.66,0
,196.25999,0
,,1
,179.53999,0
,,0
,163.94,0
,174.84,0
,,1
,,1
,,0
,172.16,0
,,1
,,0
,,1
,172.36,0
,,1
,,1
,,1
,,1
,,1
,,1
,,0
,,1
,146.62,0
,156.86,1
,,1
,0.0,0
,,1
,163.45999,1
,,1
,,1
,0.0,1
,,1
,,1
,,0
,,1
,,1
,169.82001,1
,,1
,138.8,0
,174.32001,0
,175.42,0
,180.82001,0
,,0
,,1
,178.48,0
,,0
,104.4,1
,,1
,76.5,1
,,1
,163.3,1
,142.89999,0
,131.39999,1
,,1
,108.2,1
,,1
,,1
,115.7,1
,,1
,168.7,1
,,1
,,1
,,1
,,1
,48.0,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,61.400002,1
,121.2,1
,,1
,,1
,135.8,1
,,1
,80.699997,1
