cornyield_smooth1960,cornyield_smooth2000
71.800003,136.8
79.400002,159.39999
80.400002,148.60001
78.800003,154
55.200001,114.4
77,145.60001
61.599998,125.4
80.400002,161.39999
55.200001,114.6
48,112.8
60.200001,119.4
81,147
67.800003,131.60001
40.599998,89
77.199997,135.2
82.400002,157.39999
64.82,128.25999
69.459999,133.58
65.260002,132.88
80.779999,148.7
62.739998,134.98
72.639999,145.78
56.48,
79.099998,153.53999
74.299995,148.46001
58.98,120.8
71.800003,141.34
79.760002,157.08
50.920002,
71.540001,144.14
58.599998,116.56
75.639999,146.02
68.540001,126.24
71.300003,144.34
63.639999,131.98
66.900002,130.56
69.619995,135.75999
52.459999,
70.779999,142.89999
68.18,126.04
65.980003,129.52
66.5,139.92
72.18,137.67999
60.48,131.53999
70.860001,139.75999
68.879997,138.2
61.459999,115.38
75.32,146.45999
73.300003,141.74001
80.099998,151.68001
66.5,128.17999
60.18,120.46
76.18,146.78
58.619999,124.68
61.939999,120.82
59.700001,127.64
68.160004,136.16
61.740002,142.06
68.260002,136.54001
65.440002,111.4
73.559998,133.66
75.019997,131.48
61,112.94
74.32,148.53999
63.98,139.22
67.68,136.94
55.939999,122.8
75.440002,134.2
57.559998,128.34
74,148.22
63.419998,140.12
78.779999,153.51999
66.720001,127.26
60.639999,
63.139999,124.52
59.32,130.53999
71.379997,136.14
53.459999,107.98
60.16,127.34
77.639999,133.58
62.900002,145.3
68.739998,134.18001
70.419998,147.22
64.599998,134.3
63.18,124.5
70.459999,144.48
68.040001,129.42
56.880001,133.16
66.760002,138.06
54.200001,117.52
68.279999,125.08
65.080002,117.52
61.5,140.68001
55.720001,
78.919998,146.06
83.020004,153.38
79.340004,145.39999
60.84,139.2
71.639999,143.46001
64.919998,131.38
71.660004,131.39999
75.879997,142.16
53.32,121.04
60.119999,114.64
71.459999,132.82001
67.900002,134.28
77.580002,155.04001
64.120003,127.8
66.660004,139.08
63.799999,131.68001
68.800003,152.25999
57.18,124.07999
72.5,137.10001
79.82,158.24001
75.159996,156.5
74.559998,156.34
69.68,163.38
68.379997,157.96001
73.440002,151.8
67.839996,154.34
73.959999,147.78
75.400002,145.36
69.979996,134.74001
80.540001,166.7
68.080002,151.03999
70.879997,152.82001
62.619999,151.94
54.98,120.16
65.660004,149.68001
65.160004,156.03999
79.059998,160.62
71.199997,145.2
72.300003,147.89999
55.900002,133.58
48.82,121.86
69.660004,161.42
78.919998,145.48
56.639999,145.56
72.559998,158.03999
64.919998,148.89999
64.5,158
70.239998,155.98
74.360001,153.32001
65.559998,129.38
73.919998,149.03999
80.980003,153.28
68.019997,137.7
75.419998,160.74001
65.620003,152.17999
76.900002,156.42
68.099998,139.58
69.519997,141.78
53.900002,148.16
73.860001,151.36
74.099998,148.56
72.479996,151.53999
72.980003,149.39999
72.739998,157.34
61.200001,125.66
71.360001,150.08
77,159.62
67.739998,138.92
69.059998,151.64
65.540001,133.78
71.080002,155.92
70.019997,138.86
54.279999,124.06
56.879997,154.64
69.419998,141.58
69.699997,146.39999
65.620003,142.38
78.199997,156.81999
66.199997,125.98
67.220001,157.39999
63.920002,132.64
52.299999,126.48
66.599998,136.7
71.620003,151.78
68.559998,156.66
61.66,149.16
63.619999,123.86
63.84,150.34
60.52,149.14
70.260002,150.5
71.740005,158.56
69.080002,139.28
73.379997,153.86
52.559998,122.5
75.139999,151.42
78.699997,171.06
76.720001,139.04001
64.5,162.12
75.760002,159.3
78.5,155.74001
55.880001,123.4
59.059998,135.3
61.799999,119.66
62.52,132.8
63.220001,142.22
70.459999,147.60001
53.560001,119.94
72.599998,156.58
68.800003,150
62.439999,151.98
63.079998,137.59999
65.279999,151.3
71.660004,151.46001
46.799999,94.599998
50.599998,87
45.799999,99.400002
28.200001,113.8
28.4,134.8
44,85
58.400002,113.2
44.400002,93.400002
51.400002,87.199997
43.599998,86.199997
40.200001,103.4
38.200001,133.60001
35.200001,152
44,124.2
47.400002,123.2
45.799999,85
21.4,
47.200001,80.599998
44,98
30.4,85.400002
33.599998,102.2
59.599998,131.39999
53,101.2
32.200001,159
42.599998,100.4
24.4,74
34.799999,79
71,173.39999
39.200001,166.2
44.400002,83.400002
