cornyield_smooth1980,cornyield_smooth2000,Cluster
44.32,70.68,0
40.32,,0
81.120003,140.60001,0
81.839996,156.8,0
,,0
39.259998,57.66,0
34.579998,,0
65.639999,,1
,,0
32.82,,0
40.200001,,0
33.880001,,0
,,1
38.059998,,0
54.419998,,1
55.0,109.48,0
32.279999,,0
44.0,,1
54.98,,0
43.459999,,0
53.68,,0
67.099998,127.22,0
46.580002,,0
33.32,,0
44.579998,,0
59.18,89.440002,0
92.5,168.0,0
38.700001,,0
49.459999,,1
55.98,71.599998,0
77.139999,102.12,0
34.48,,0
41.5,,0
45.419998,91.419998,0
39.48,72.400002,0
50.68,112.6,0
60.119999,129.62,0
67.400002,74.779999,0
59.959999,112.6,0
46.720001,95.260002,0
32.220001,,0
34.66,,0
59.639999,116.48,0
49.119999,,0
71.839996,,1
55.02,,0
56.18,100.4,1
30.620001,,0
55.16,54.860001,0
36.040001,,0
40.760002,109.1,0
58.260002,66.5,0
50.139999,,0
49.200001,,0
67.339996,94.059998,1
59.639999,,1
57.5,116.2,0
42.279999,,0
37.900002,,0
56.84,100.84,0
106.96,154.10001,1
,,1
,,1
,,1
,,1
82.400002,,1
,,1
,,1
,,1
81.599998,,1
,,1
,,1
,,1
104.76,165.73999,1
,,1
95.459999,156.02,1
,,1
,,1
,,1
105.96,149.78,1
84.0,144.60001,1
,,1
101.96,152.28,1
98.919998,149.02,1
,,1
,,1
101.36,138.03999,1
,,1
,,1
,,1
,,1
92.879997,162.14,1
,,1
93.459999,,1
,,1
,,1
104.4,151.98,1
105.34,164.0,1
,,1
,,1
,,1
102.36,144.95999,1
,,1
103.94,,1
108.8,144.60001,1
90.400002,122.8,1
95.0,115.8,1
122.4,145.39999,1
113.6,141.39999,1
125.2,156.60001,1
103.6,123.4,1
122.2,162.8,1
123.2,154.2,1
126.8,149.2,1
129.0,155.60001,1
113.2,134.60001,1
90.0,111.0,1
92.599998,123.2,1
123.8,150.2,1
106.6,115.0,1
107.4,123.2,1
112.0,132.39999,1
133.60001,154.2,1
120.8,153.39999,1
121.0,141.8,1
117.8,126.6,1
121.0,144.2,1
94.400002,116.8,1
108.0,121.0,1
97.599998,120.8,1
114.4,142.60001,1
76.800003,96.0,1
111.0,150.2,1
97.0,125.2,1
108.8,138.39999,1
119.6,141.2,1
81.800003,109.4,1
119.0,146.8,1
73.599998,112.0,1
125.2,153.8,1
124.8,154.0,1
114.6,151.2,1
84.0,107.0,1
108.4,121.0,1
82.199997,106.2,1
111.8,138.60001,1
116.6,148.39999,1
79.199997,107.0,1
130.0,146.39999,1
116.6,137.60001,1
122.8,138.2,1
122.6,159.0,1
101.6,105.2,1
124.2,147.60001,1
97.599998,123.2,1
126.6,159.0,1
119.8,139.39999,1
118.4,154.8,1
124.0,160.2,1
118.8,132.8,1
124.2,153.39999,1
127.2,158.60001,1
117.4,145.0,1
105.6,135.0,1
90.400002,118.0,1
117.4,152.39999,1
105.6,141.60001,1
85.0,106.8,1
120.8,155.39999,1
124.2,154.60001,1
102.0,121.2,1
119.2,141.39999,1
131.60001,156.0,1
132.0,154.60001,1
124.4,154.60001,1
116.6,156.60001,1
78.800003,91.800003,1
127.4,155.39999,1
107.2,144.8,1
74.599998,91.199997,1
86.400002,116.0,1
118.2,155.39999,1
89.400002,108.2,1
95.599998,111.0,1
122.4,153.39999,1
103.6,127.6,1
81.599998,102.6,1
131.0,156.60001,1
109.6,146.60001,1
117.2,141.39999,1
120.4,136.8,1
126.0,159.39999,1
119.2,148.60001,1
119.6,154.0,1
86.800003,114.4,1
121.2,145.60001,1
100.6,125.4,1
130.39999,161.39999,1
89.400002,114.6,1
87.599998,112.8,1
87.599998,119.4,1
122.6,147.0,1
